date,uah_per_eur
2026-01-01,49.7947
2026-01-02,49.5499
2026-01-03,49.5499
2026-01-04,49.5499
2026-01-05,49.5794
2026-01-06,49.5136
2026-01-07,49.7992
2026-01-08,49.9216
2026-01-09,50.1762
2026-01-10,50.1762
2026-01-11,50.1762
2026-01-12,50.1444
2026-01-13,50.5264
2026-01-14,50.3219
2026-01-15,50.2649
2026-01-16,50.4375
2026-01-17,50.4375
2026-01-18,50.4375
2026-01-19,50.4372
2026-01-20,50.3031
2026-01-21,50.7219
2026-01-22,50.6669
2026-01-23,50.5201
2026-01-24,50.5201
2026-01-25,50.5201
2026-01-26,50.6539
2026-01-27,51.0647
2026-01-28,51.2297
2026-01-29,51.2286
2026-01-30,51.2423
2026-01-31,51.2423
2026-02-01,51.2423
2026-02-02,51.0225
2026-02-03,50.9062
2026-02-04,50.9502
2026-02-05,51.035
